Date;From;To;Aircraft;STD;ATD;STA;Status
2014-08-13;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-12;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-11;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-10;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-09;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-08;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-07;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-06;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-05;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;-;06:30;Scheduled
2014-08-04;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:56;06:30;Landed 07:00
2014-08-03;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:44;06:30;Landed 07:13
2014-08-02;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:30;06:30;Landed 06:47
2014-08-01;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:23;06:30;Landed 06:38
2014-07-31;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:49;06:30;Landed 05:55
2014-07-30;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;23:15;06:30;Canceled
2014-07-29;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:20;06:30;Landed 06:47
2014-07-28;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:53;06:30;Landed 06:14
2014-07-27;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:27;06:30;Landed 06:54
2014-07-26;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:01;06:30;Landed 06:26
2014-07-25;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:24;06:30;Landed 06:46
2014-07-24;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:54;06:30;Landed 06:08
2014-07-23;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:41;06:30;Landed 06:10
2014-07-22;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:47;06:30;Landed 06:31
2014-07-21;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:09;06:30;Landed 06:39
2014-07-20;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:29;06:30;Landed 05:56
2014-07-19;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:47;06:30;Landed 06:05
2014-07-18;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:10;06:30;Landed 06:25
2014-07-17;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;23:15;06:30;Canceled
2014-07-16;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:58;06:30;Landed 06:13
2014-07-15;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;01:08;06:30;Landed 07:20
2014-07-14;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;-;06:30;Landed 06:18
2014-07-13;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;01:00;06:30;Landed 07:21
2014-07-12;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:43;06:30;Landed 07:10
2014-07-11;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:33;06:30;Landed 05:50
2014-07-10;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:57;06:30;Landed 06:08
2014-07-09;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:37;06:30;Landed 06:11
2014-07-08;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:05;06:30;Landed 06:29
2014-07-07;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:36;06:30;Landed 06:56
2014-07-06;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:40;06:30;Landed 06:04
2014-07-05;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:59;06:30;Landed 06:27
2014-07-04;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;01:35;06:30;Landed 07:52
2014-07-03;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:23;06:30;Landed 06:39
2014-07-02;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;02:49;06:30;Landed 09:19
2014-07-01;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:24;06:30;Landed 07:04
2014-06-30;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:50;06:30;Landed 07:24
2014-06-29;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;B77W ;23:05;00:04;06:30;Landed 06:51
2014-06-28;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:35;06:30;Landed 06:02
2014-06-27;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:05;06:30;Landed 06:21
2014-06-26;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:47;06:30;Landed 07:02
2014-06-25;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;01:02;06:30;Landed 07:29
2014-06-24;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:56;06:30;Landed 06:31
2014-06-23;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:53;06:30;Landed 07:27
2014-06-22;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;B77W ;23:05;23:45;06:30;Landed 06:11
2014-06-21;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:12;06:30;Landed 06:34
2014-06-20;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:22;06:30;Landed 06:51
2014-06-19;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:39;06:30;Landed 07:07
2014-06-18;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:54;01:01;07:19;Landed 07:36
2014-06-17;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:06;06:30;Landed 06:52
2014-06-16;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:01;06:30;Landed 06:49
2014-06-15;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:24;06:30;Landed 07:09
2014-06-14;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:29;06:30;Landed 07:09
2014-06-13;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;01:42;06:30;Landed 08:09
2014-06-12;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:22;06:30;Landed 06:56
2014-06-11;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:44;06:30;Landed 07:16
2014-06-10;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;23:15;06:30;Canceled
2014-06-09;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;-;23:05;23:15;06:30;Canceled
2014-06-08;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:50;06:30;Landed 06:54
2014-06-07;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:14;06:30;Landed 06:39
2014-06-06;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:49;06:30;Landed 06:25
2014-06-05;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:49;06:30;Landed 06:22
2014-06-04;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:56;06:30;Landed 06:36
2014-06-03;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:10;06:30;Landed 06:44
2014-06-02;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:51;06:30;Landed 06:26
2014-06-01;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;B77W ;23:05;23:49;06:30;Landed 06:20
2014-05-31;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:06;06:30;Landed 06:41
2014-05-30;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:47;06:30;Landed 06:21
2014-05-29;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:05;06:30;Landed 06:49
2014-05-28;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:10;06:30;Landed 06:46
2014-05-27;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:34;06:30;Landed 07:07
2014-05-26;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:52;06:30;Landed 06:33
2014-05-25;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:10;06:30;Landed 06:38
2014-05-24;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:51;06:30;Landed 06:20
2014-05-23;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:56;06:30;Landed 06:41
2014-05-22;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;00:22;06:30;Landed 07:06
2014-05-21;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;01:58;06:30;Landed 08:36
2014-05-20;New York John F. Kennedy International Airport;Paris Charles de Gaulle Airport;A388 ;23:05;23:58;06:30;Landed 06:46
